Rudy Riou,136,Goalkeeper,"Béziers, France"
Benoît Pedretti,926,Midfielder,"Audincourt, France"
Kanga Akalé,268,Central midfielder,"Abidjan, Ivory Coast"
Franck Dumas,433,Defender,"Bayeux, France"
Abdoulaye Méïté,591,Centre back,"Colombes, France"
Fabrizio Ravanelli,10499,Striker,"Perugia, Italy"
Alain Giresse,3455,Midfielder,"Langoiran, France"
Bill Tuiloma,1599,"Centre-back, defensive midfielder","Beach Haven, New Zealand"
Oussama Targhalline,1073,Midfielder,"Sidi Belyout, Morocco"
Teddy Bertin,43,Defender,"Flixecourt, Somme, France"
Steven Fletcher,12940,Striker,"Shrewsbury, England"
Mamadou Niang,2567,Striker,"Matam, Senegal"
José Anigo,574,Defender,"Marseille, France"
Christophe Galtier,19299,Defender,"Marseille, France"
Juan Krupoviesa,129,Left back,"San Miguel de Tucumán, Argentina"
David Sommeil,331,Centre-back,"Pointe-à-Pitre, Guadeloupe"
Olivier Echouafni,377,Midfielder,"Menton, France"
Rafidine Abdullah,304,Midfielder,"Marseille, France"
Bamba Dieng,10050,Forward,"Pikine, Senegal"
Laurent Bonnart,180,Full-back,"Chambray-lès-Tours, France"
Florian Raspentino,208,Forward,"Marignane, France"
Laurent Batlles,500,Midfielder,"Nantes, France"
Hatem Ben Arfa,30585,"Attacking midfielder, winger","Clamart, France"
Štěpán Vachoušek,162,Midfielder,"Duchcov, Czechoslovakia"
Rudi Völler,10958,Forward,"Hanau, West Germany"
Brandão,1370,Striker,"São Paulo, Brazil"
Boubacar Kamara,8802,Defensive midfielder,"Marseille, France"
Alou Diarra,3087,Defensive midfielder,"Villepinte, France"
Arkadiusz Milik,20839,Striker,"Tychy, Poland"
Cyrille Pouget,97,Striker,"Metz, France"
Mame N'Diaye,47,Left-back,"Thiès, Senegal"
Amine Harit,6778,Midfielder,"Pontoise, France"
Rahmane Barry,65,Defender,"Dakar, Senegal"
Garry Bocaly,183,Right back,"Schœlcher, Martinique, France"
Stefano Torrisi,252,Defender,"Ravenna, Italy"
Mathieu Valbuena,20141,"Attacking midfielder, Winger","Bruges, France"
Edson,81,Left-back,"Palmares, Brazil"
Steve Marlet,1004,"Forward, winger","Pithiviers, France"
Karim Rekik,5642,"Centre-back, left-back","The Hague, Netherlands"
Ivan Franceschini,67,Centre-back,"Parma, Italy"
Michaël Cuisance,7925,Midfielder,"Strasbourg, France"
Elinton Andrade,296,Goalkeeper,"Santa Maria, Brazil"
Patrick Cubaynes,51,Striker,"Nîmes, France"
Sead Kolašinac,23346,Left-back,"Karlsruhe, Germany"
Rui Barros,1105,Attacking midfielder,"Paredes, Portugal"
Morgan Amalfitano,1790,Midfielder,"Nice, France"
Leyti N'Diaye,81,Defender,"Dakar, Senegal"
Nicolas Nkoulou,4175,Centre back,"Yaoundé, Cameroon"
Hamada Jambay,69,Right-back,"Iconi, Comoros"
Marc Libbra,204,Striker,"Toulon, France"
Stéphane Trévisan,63,Goalkeeper,"Toulouse, France"
Lucas Bernardi,642,Defensive midfielder,"Rosario, Argentina"
Joël Cantona,1462,Defender,"Marseille, France"
Ibrahim Ba,2208,Right midfielder,"Dakar, Senegal"
François Brisson,112,Winger,"Saintes, France"
Rolando,4209,Centre-back,"São Vicente, Cape Verde"
Morgan Sanson,7279,Midfielder,"Saint-Doulchard, France"
William Saliba,37383,Centre-back,"Bondy, France"
Salim Ben Seghir,1027,Winger,"Saint-Tropez, France"
Laurent Abergel,279,Defensive midfielder,"Marseille, France"
Gerson,6849,Midfielder,"Belford Roxo, Brazil"
Baptiste Aloé,185,Central defender,"La Ciotat, France"
Brahim Hemdani,757,Defensive midfielder,"Colombes, France"
André-Pierre Gignac,26991,Striker,"Martigues, France"
Christian Giménez,118,Striker,"Buenos Aires, Argentina"
Clinton N'Jie,6246,"Forward, winger","Buea, Cameroon"
Dramane Coulibaly,72,Striker,"Bamako, Mali"
Fernandão,371,Striker,"Goiânia, Brazil"
Maxime López,4031,Attacking midfielder,"Marseille, France"
Samuel Gigot,1876,Centre-back,"Avignon, France"
Andreas Köpke,3367,Goalkeeper,"Kiel, West Germany"
Dragan Stojković,10319,Midfielder,
Ibrahima Bakayoko,1723,Striker,"Séguéla, Ivory Coast"
Franck Jurietti,219,Full-back,"Valence, France"
André Luis,95,Centre back,"Porto Alegre, Brazil"
Jérémy Morel,2078,Centre-back,"Lorient, France"
Jérémy Gavanon,75,Goalkeeper,"Marseille, France"
Ali Bouafia,57,Midfielder,"Mulhouse, France"
Ronald Zubar,707,Defender,"Les Abymes, Guadeloupe"
Marcelinho Paraíba,1908,Attacking midfielder,"Campina Grande, Brazil"
Enzo Francescoli,8160,Attacking midfielder,"Montevideo, Uruguay"
Pape M'Bow,110,Defender,"Guédiawaye, Senegal"
Abdoulaye Diallo,2004,Goalkeeper,"Reims, France"
Titi Camara,2316,Striker,"Conakry, Guinea"
Loïc Rémy,19786,Forward,"Rillieux-la-Pape, France"
Paolo De Ceglie,2523,"Left-back, left wing-back","Aosta, Italy"
Delfim,133,Defensive midfielder,"Amarante, Portugal"
Darío Benedetto,10626,Striker,"Berazategui, Argentina"
Koke,1329,Forward,"Málaga, Spain"
Henri Stambouli,536,Goalkeeper,"Oran, French Algeria"
Saîf-Eddine Khaoui,1550,Midfielder,"Paris, France"
Frank Leboeuf,8923,Centre-back,"Marseille, France"
Pascal Fugier,29,Defender,"Guilherand-Granges, France"
Alen Bokšić,6053,Forward,"Makarska, SR Croatia, SFR Yugoslavia"
Pape Gueye,3337,Defensive midfielder,"Montreuil, France"
Frédéric Meyrieu,56,Midfielder,"La Seyne-sur-Mer, France"
Cédric Bakambu,12128,Forward,"Vitry-sur-Seine, France"
Lucas Mendes,401,"Left back, centre back","Curitiba, Brazil"
Romain Alessandrini,5654,Winger,"Marseille, France"
Foued Kadir,304,Attacking midfielder,"Martigues, France"
Jacques Abardonado,619,Defender,"Marseille, France"
Benoît Cheyrou,1417,Midfielder,"Suresnes, France"
Jean Castaneda,222,Goalkeeper,"Saint-Étienne, France"
Issa Kaboré,2794,Right-back,"Bobo-Dioulasso, Burkina Faso"
Kaba Diawara,1090,Striker,"Toulon, France"
Chancel Mbemba,6737,Defender,"Kinshasa, Zaire"
Jean-Manuel Thetis,98,Defender,"Sarcelles, France"
Samir Nasri,47507,Attacking midfielder,"Septèmes-les-Vallons, France"
Jean-François Hernandez,5214,Centre-back,"Tours, France"
Jean-Pierre Bade,128,Defender,"Saint-Louis, Réunion"
Jean-Pierre Cyprien,74,Defender,"Basse-Terre, Guadeloupe"
